조사번호	조사지역	주구분	조사일자	시간대	X좌표	Y좌표	행정구역명	날씨	남자10대	남자20대	남자30대	남자40대	남자50대	여자10대	여자20대	여자30대	여자40대	여자50대
2664	미니스톱앞 4거리	주중	2010-06-16	12시~13시까지	283532	540911	인천광역시 남구 주안1동	맑음	0	92	36	36	28	0	80	20	76	36
2664	미니스톱앞 4거리	주중	2010-06-16	19시~20시까지	283532	540911	인천광역시 남구 주안1동	맑음	24	190	170	85	22	62	310	80	61	12
2664	미니스톱앞 4거리	주말	2010-06-05	12시~13시까지	283532	540911	인천광역시 남구 주안1동	맑음	45	106	90	22	39	55	120	75	38	0
2664	미니스톱앞 4거리	주말	2010-06-05	19시~20시까지	283532	540911	인천광역시 남구 주안1동	맑음	18	314	190	82	54	146	388	254	144	45
2771	파워프라자 앞 버스정류장	주중	2010-06-09	12시~13시까지	288734	543530	인천광역시 부평구 부개1동	맑음	0	30	33	6	36	0	24	27	24	99
2771	파워프라자 앞 버스정류장	주중	2010-06-09	19시~20시까지	288734	543530	인천광역시 부평구 부개1동	맑음	48	51	12	12	75	36	54	45	18	78
2771	파워프라자 앞 버스정류장	주말	2010-07-10	12시~13시까지	288734	543530	인천광역시 부평구 부개1동	흐림	54	42	18	6	63	12	45	33	21	120
2771	파워프라자 앞 버스정류장	주말	2010-07-10	19시~20시까지	288734	543530	인천광역시 부평구 부개1동	흐림	9	87	9	18	102	12	42	12	15	69
2772	부개1동주민센터 앞 버스정류장	주중	2010-06-09	12시~13시까지	288572	543385	인천광역시 부평구 부개1동	맑음	18	18	9	6	4	33	3	9	18	15
2772	부개1동주민센터 앞 버스정류장	주중	2010-06-09	19시~20시까지	288572	543385	인천광역시 부평구 부개1동	맑음	18	27	15	9	51	48	30	39	27	63
2772	부개1동주민센터 앞 버스정류장	주말	2010-07-10	12시~13시까지	288572	543385	인천광역시 부평구 부개1동	흐림	33	15	9	3	24	9	45	9	12	75
2772	부개1동주민센터 앞 버스정류장	주말	2010-07-10	19시~20시까지	288572	543385	인천광역시 부평구 부개1동	흐림	6	42	6	12	81	9	30	15	12	69
2781	경인프라자앞 버스정류장(거지닭 호프)	주중	2010-07-12	12시~13시까지	283224	555438	인천광역시 서구 당하동	맑음	9	33	6	9	15	0	30	42	33	39
2781	경인프라자앞 버스정류장(거지닭 호프)	주중	2010-07-12	19시~20시까지	283224	555438	인천광역시 서구 당하동	맑음	84	84	21	21	48	36	66	63	15	51
2781	경인프라자앞 버스정류장(거지닭 호프)	주말	2010-06-26	12시~13시까지	283224	555438	인천광역시 서구 당하동	흐림	12	24	18	0	6	6	30	36	0	42
